lang,topic,question,"answer"
fr,Quand/Où faire la demande,Faites la demande à RRO,"Faites la demande à la RRO dès que vous arrivez .Si un officier vous questionne avant cela, repondez- le que vous allez poser la demande d' asile."
fr,Quand/Où faire la demande,Durban,"Votre  Bureau d'acceuil des réfugiés (RRO) à Durban est situé sur l' avenue Moore, No 132, Durban.Numéro de Tél: 031-362-1205 / Fax: 031-362-1220."
fr,Quand/Où faire la demande,Musina,"Votre bureau d'acceuil des réfugiés (RRO) à Musina est situé sur l' avenue Harold No 8  (à cote du bureau postal). Tél:015-534-5300; Fax: 015-534-5332."
fr,Quand/Où faire la demande,Prétoria,"Votre bureau d'acceuil des réfugiés (RRO) à Pretoria - Ouest est à Marabastad, croisement entre les avenues E'skia Mphahlele & Struben.Tél: 012-327-3515; fax: 012-327-5782.  "
fr,Quand/Où faire la demande,Prétoria Ouest,"Votre Bureau d' acceuil des réfugiés (TIRRO) à Pretoria - Ouest est sur l' avenue Soulter No 203, Showground Prétoria. Tél: 012-306-0800/012-306-0806; Fax: 086-579-7823."
fr,Quand/Où faire la demande,Ville de Cape / Cape Town,"RRO du Cape: Rue Voortrekker No 142, Maitland.Tél: 021-514-8414 Fax: 021-514-8403.Pas de nouvelles demandes, seulement le renouvellement des permis existants des refugiés."
fr,Le processus,Vos fonctions,"La constitution de la RSA protège les refugies et les demandeurs d'asyle lorsqu'ils respectent la loi et acceptent les devoirs des demandeurs d'asyle. C'et votre devoir de vous présenter à la RRO quand vous arrivez en RSA et veritablement expliquer pourquoi vous voulez l'asyle. C'est votre devoir de respecter la loi; au case contraire, vous serez traduits en justice comme tout autre sud-africain. La paid est votre droit et devoir. Si vous participez aux attaques armees contre votre pays, vous pouvez perdre votre permis et etre pris en prison."
fr,Le processus,Eligibilité,"Complétez le formulaire d' éligibilité. Repondez honnetement. Vous passerez une interview plus tard pouir donner plus de détail sur votre hisoire. Apportez tous vos documents qui prouvent votre identité et vos origines. On fera les copies et vouremetra vos orinaux. Après la prise des empreintes digitales, les numéros de votre case et dossier vous sera remis, gardez-les jalousement."
fr,Le processus,Libres d'appliquer,"Ne payez rien a qu que ce soit, ni aux agents de la sécurité, ni aux officiels. Le prcessus est gratuit. Luttez contre la corruption. Conseil: Si un officier du DHA vous demande une corruption, retenez son nom, ses charactéristiques physiques, ainsi que la date et le temps de l' incident. Conseil: Pas de raison de payer les frais. Rapportez la corruption au suivant numéro gratuit de DHA: 0800601190 .Vous serez anonyme."
fr,Le processus,Permis,"Vous aurez un permis de la Section 22 (permis du demandeur d'asyle) lorque vous posez la demande; c'est une preuve que vous avvez posé unde demande.Ce permis ne vous donne pas encore le statut de réfugié. Ce document vous permet de travailler. Vérifiez ou demandez les conditions de votre permis; il est souvent valide de 1 ou 3 mois. Veuillez en faire une copie, toujours gardez ce copie avec vous et renouvellez-le avant que ça n' expire. Un décision peut prendre des mois eo des années. Conseil: si vous ne renouvelez pas votrepermis section 22 avant son expiration, vous risquerez une arrêstation/détention/amendes."
fr,Le processus,Intreview,"Un interview est prévu lors de la demande d' asile. Il y aura des questions sur vous et votre pays. Vous avez droit à un avocat, interprète ou un temoins, une declaration ou tout autre évidence pour assister . Votre representation ne peut qu'observer. vous auez une décision ce jour ou plustard. Veuillez cachetez votre permis avant de quiter. Les marriés seront interviewer tous, s' ils font la demande ensemble.Déclarer votre femme ou enfants vivant dans un autre pays dans votre dossier."
fr,Le processus,Interprétation,"Si vous ne parlez pas assez une langue sud-africaine, vous avez besoin de votre interprète si DHA ne vous en a pas donné un(e).Prenez l'interprète de confience qui traduira excatement ce que vous dites et non l'autre qui fabriquera votre histoire pour vous obtenir le statut. Parlez lentement et soyez cohérents, demandez qu'on vous relise votre histoire. Demandez à l' officier d' écrire toutes les corrections. Signez votre formulaire.Votre avocat, témoin, compatriote ne peut pas interpréter pour vous."
fr,Le processus,Droits gratuits,"Certaines universités des cliniques juridiques et des organisation de droit de l'home offrent des services juridiques gratuits aux réfugiés et demendeurs d'asyle. Le HCR a des conseillers juridiques spécilaisés dans la loi des des réfugiés dans 5 cités sud-africaines. les conseillers jusridiques peuvent vous conseiller sur votre demande de l'asyle ou vous assister si votre demande a été rejeée. ils ne peuvent que vous conseiller. Ils ne donnent pas le loyer ou logement ou bien la nourriture. Voir les 'Services sociaux pour plus d'info."
fr,Le processus,À propos des avocats,"Les avocats privés peuvent vous aider avec votre demande, appel ou et les revisions des décisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Société Juridique Sud-Africaine a une liste des spécialistes en droits des réfugiés - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services. Rassurez-vous de l'authenticité des qualifications de l'avocat.Pour vérifier, veuillez contacterer La Société Juridique Sud-Africaine sur: 0123668800."
fr,Résultats sur la demande,Succès,"Si votre demande est approuvée, on vous donne le permis de la Section 24 (statut des réfugiés) qui est valide dpour 2 à 4 ans. Vous devez le renouveler avant son expiration au bureau de RRO. Les réfugiés peuvent postuler un ID des réfugiés et des documents de voyage. Cele peut prendre du temps, veuillez postuler poru l'ID seuleuement si vous avez l'ID des réfugié si non, vous ne pouvez voyaer que sur l'urgence, veuillez contacter le HCR. Conseil: Si vous voyagez dans votre pays d'origine, vous perdre votre statut de réfugié en Afrique du Sud."
fr,Résultats sur la demande,Sans succès,"Si votre demande est rejeée par un officier de RRO, voust n'etes pas réfugié reconnu.Vous avez souvent 30 jours pour donner l'avis d'appel. Atrement, vous devez documenter votre séjour en RSA ou quitter. Les raisons de votre rejet affectent votre appel. Si votre demande était fraudulente ou abusante, le SCRA devra la revoir. Vou avez 14 jours pour faire une déclaration écrite de votre désaccord avec RRO qui vous a ainsi rejeté.Contactez LHR pour l'assistance."
fr,Résultats sur la demande,Appel,"Les avocats privés peuvent vous aider avec votre demande, appel ou et les revisions des décisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Société Juridique Sud-Africaine a une liste des spécialistes en droits des réfugiés - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services. Rassurez-vous de l'authenticité des qualifications de l'avocat.Pour vérifier, veuillez contacterer La Société Juridique Sud-Africaine sur: 0123668800."
fr,Vos droits,Asile,"C'est votre droit: D'avoir votre demade d' asile sans corruption, ne pas être déporter dans votre pays ou être persécutés pour avoir fait une entrée illégale ou etre présent RSA pendant que vous attendez la décision sur votre demande."
fr,Vos droits,Travail,"Tout demendeur d'asyle ou refugié ayant un permis valide a le droit de travailler en RSA. Vous obtenir un emploi ou faire vos propres affaires.Vous n' avez pas besoin d' un extra visa"
fr,Vos droits,Santé,"Vous avez le droit aux soins médicaux de base en RSA.On ne peut vous refuser les soins médicaux d'urgence.Les agents de l' hôpitaux sont parfois sous informés sur les droits des refugés et demandeurs d'asyle avec permis valides. Vous pouvez contacter LHR si vous n' avez pas accès aux soins de santé publics."
fr,Vos droits,Éducation,"Toute personne a le droit d' écation de base en RSA.Vous devriez avoir un permis d' étude valide en RSA.Êtes-vous en RSA sous un différent permis valide? Vérifiez si votre permis vous permet d' étudier en RSA.Quleques conditions pourraient etre applicables"
fr,Vos droits,Aliment & Logement,"Vous droit sur: l' alimentation, eau et .Les organisations offrent une assistance limiée, par la suite, vous devriez prendre soins de vous memes. Voir 'Sevrices utiles' pour les organisation religieuses qui peuvent assister. Le gov. de la RSA, ONGs & HCR interviennent dans des cas speciaux. Le HCR a un role limité en RSA (sans camps des refugiés). L' assistance maigre est apportée aux plus vulnérables personnes (mamans et enfants qui sont en RSA pour moins de 2 mois, homes celibataires avec des beoisns speciaux, les malades & handicapés). L'assistance peut comprendre la nourriture et loyer de base pour 3 mois. La pluspart des communautés des refugiés donnent peu d'assistance materiel mais donne le soutien. Vous avez l' accès aux soins de santé public et éducation."
fr,Vos droits,Éviction,"Les lois protègent les immigrants d' un éviction illégale.Le bailleur devra avoir un mandat d' éviction avant d' agir.Seulement le tribunal peut vous expulser.Contacter le Tribunal des Locations des Maisons sur: 0116305035/0800046873 s' il y a une dispute ou vous êtes maltraités."
fr,Vos droits,LGBTI,"La constitution sud-africain protège les LGBTIs.Les victimes doinvent rapporter leurs abus à la police, ou au SAHRC.Veuiller demander l'assistance juridique si vous avex des problemes pour ouvrir des cas. Voir la Liste de Contact pour plus d' info.Le soutien des LGBTI: GALA à Johannesburg: 011 717 4239, ou Pretoria, Wellbeing : 0124303272/ Gay & Lesbien Network à Durban: 033 342 6165."
fr,Vos droits,Abus,"Les femmes etles enfants ont le droit de vivre sans abus. toute sorte d'abus doit être rapporté à la police.Souvenez-vous qu'une ordonnance de protection vous épargne de plus de violence. Violence peut signifier l'intimidation, abus physique, sexuel ou verbal ou lorque vous perdez votre liberté.L'abus des femmes et des enfants est illégal en RSA. Obtenez une assistance légale gratuite des organisations des femmes et enfamts ou appelez au 0800-150-150."
fr,Arrestation,Arrestation,"Les detenteurs des permis ne peuvent pas etre arretés sauf au cas de la violation de la loi. La police ou les officiers d' immigration peuvent vous demander votre permis pour verifier statut d'immigration en RSA. En cas d' arrêstation, vous irez à la police jusqu' à ce que l'officier de DHA verifie votre indentite dans les 48hrs. Ne corrompez pas un officier pour eviter l'arrestation ou detention, c' est contre la loi.Ayez toujours votre permis ou une copie du permis certifiée."
