lang,topic,question,"answer"
sw,Kugongesha Kibali Upya,Kugongesha Upya,"Gongesha upya kibali cha kifungu 22 cha ukimbizi kabla hakijakwisha. Baadhi RRO ofisi zina mistari tofauti.Kibali cha kigungu 24 kinakuwa halali miaka 2 au 4 . Omba kwenye RRO wiki moja kabla haijaanguka. Kamati Simamizi Kwa Masuala ya Wakimbizi (SCRA) hufanya mapitio ya hifadhi yako kutokana na hali ya nchi ya asili yako.Mwanga: Chukua nyaraka zote awali pamoja nawe wakati unaenda kugongesha upya kibali chako."
sw,Kugongesha Kibali Upya,Faini,"Utafainiwa kama hujafanya kibali yako upya. Malipo ya faini humaanisha hatia ya kutofanya kibali upya na utakuwa na recordi ya uhalifu. Uliza wakili wako akusaidie kama una sababu inayoeleweka ya kuchelewa .RRO afisa atakupa faini na atakwambia penye utailipia. Haizidi R1000. Kama hivyo , ona wakili. gogengesha upya kibali aple uliomba hadhi. Mwanga : Viibali havifanywe upya moja kwa moja."
sw,Kugongesha Kibali Upya,Kibali iliyopotea,"Je umepoteza kibali? Andika kauli au hati ya kiapo kituoni cha polisi. Peana kauli na nakala ya kibali (kama unaweza) kwa RRO. Mwanga : kibali kiki potea ni vigumu kupata tena. Thibitishwa nakala na uziweke salama. Kumbuka faili namba za kibali na kesi namba."
sw,Kugongesha Kibali Upya,Vibali vya kukaa nchini muda mrefu,"Mkimbizi anayo tambulika huwezi omba makaazi ya kidumu. Lazima uishi SA zaidi ya miaka 5 mbichi. Shauri uhamaji 2002 kwa maelezo zaidi ya ombi maazi ya kidumu. Ni muhimu kuwa na cheti cha Standing Committee for Refugee Affairs (SCRA) ya kuamba muda usio julikana."
sw,Kugongesha Kibali Upya,Mombi,"Baada ya miaka 5 kuwa na hadhi ya ukimbizi, unaweza omba kibali cha kukaa muda mrefu .Jaza fomu ya kuomba cheti kwa SCRA kinahakikisha kama utakuwa kimbizi kwa milele. Unaweza uliza washauri wa kisheria kama LHR usaidizi. Hii inaweza chukua mwaka moja. Alafu peleka cheti cha SCRA na hati maalum zinahitajiwa na ofisi ya uhamaji ya DHA (sio RRO) Mwanga: Wakimbizi hawafai kulipa kuomba kibali cha kukaa mdu mrefu."
sw,Kazi,Kazi,"Waombaji wa ukimbizi na wakimbizi wana haki ya kutafuta kazi wakiwa na kibali halali wala hawatakiwi kutafuta viza zaidi ya kikazi juu watumike."
sw,Kazi,Mwenye Biashara,"Sajili biashara yako na CIPC. Jua liseni kupata kwa municipality na bei nafuu. Unahitaji copy ya kibali na ziada kama afya & usalama (H&S) ukiguzi vyeti. Utapata liseni na uanze biashara. A H&S afisa aeza chunguza tovuti. Unajitaji H&S sheria kila wakati. Angalia tarehe ya liseni kabla kuanguka. Andikisha biashara yako katika CIPC . Uliza Kama inahitaji leseni, ambao inapatikana katika manispaa kwa ada ndogo. Unahitaji nakala za kibali chako na nyaraka mbali mbali zaidi kama Vyeti vya ukaguzi wa Idara ya Afya na Usalama ( H & S ) . Usilipe rushwa! ! Wakati biashara yako inaeneza mahitaji yote , utapata leseni na unaweza kuanza biashara . Afisa wa H & S anaweza kukagua eneo la biashara yako. Unahitaji kufuata sheria za H&S wakati wote. Angalia leseni itaisha tarehe gani na uifanye upya kwa wakati."
sw,Kazi,Sheria za Jimbo,"Angalia sheria za biashara majimbo ya SA. KZN/Limpopo/Mpumalanga/North West unahitaji liseni inuruhusiwa na Afya &Usalama . Limp: Liseni iko mwaka 1. Fanya Upya mwezi 1 kabla iishe au utafainiwa/fugungwa. KZN: Huwezi kubadilsha mjendo kwa biashara bila ruhusa.Mpum : wachuuzi wa mitaani hawana haja ya leseni, lakini haja uthibitisho kwamba walipewa ruhusa ya kufanya biashara katika maeneo hao . Gauteng : Wasiliana na LHR kwa kupata nakala ya sheria . Ongalia 'Huduma Muhimu'."
sw,Kazi,Sheria ndogo ndogo za mji,"Sheria ya munisipaa inaitwa sheria ndogo ndogo za mji. Zinahusika na biashara na huduma ya miji. Jua sheria ya munisipaa unaofanyia biashara. Mwanga : Ni muhimu kutii sheria. Usipofuata sheria, unaweza poteza mali yako au kufungwa.Kwa sheria zianozohusika ongalia: www.capetown.gov.za, www.tshwane.gov.za, www.durban.gov.za, www.nelsonmandelabay.gov.za au www.joburg.org.za"
sw,Kazi,Mlinzi / Mwalimu,"MLINZI / MLINZI WA MAGARI : Lazima ujiandikishe katika PSIRA . Raia wa SA , Wakazi na wakimbizi ambao wana kinga ya kudumu wanaweza kufanya kazi kama walinzi. MWALIMU : Kama wewe ni mwalimu wa shule za umma unahitaji kuangalia vyeti vyako vya kimataifa kama vinafaa katika Mamlaka SA Sifa ( SAQA ). Tathmini ya SAQA haina dhamana ya kukupa kazi. Pia jiandikishe na Baraza la waelimishaji SA( Saces ). Nenda www.sace.org.za kwa maelezo zaidi."
sw,Kazi,Muguuzi,"Wakimbizi wenye fuzu wa uuguzi wasajili na South African Nursing Counsil (SANC). Nenda www.sanc.co.za kwa hati unasajili."
sw,Kazi,Daktari,"Madaktari wakimbizi waeza kusajili udaktari SA. Idara ya Afya (DOH) huajiri madaktari wageni wenye sifa & uzoefu wa hospitali za serikali. Sajili na Foreign Workforce Managment Programme kwa 012-312-0467 upate kazi hospitali za serakalini. au Idara ya afya. Omba mhuri kwa FWMP. Ukipata Kazi na mhuri,omba sajili na Health Professions Counsil of SA kwa 012-338-9350."
sw,Kazi,Ubaguzi,"Sheria SA inakataza ubaguzi au unyanyasaji kazini. Mwajiri hawezi kufanya ubaguzi kazini kwamba uko mgeni. Sheria hulinda wewe dhidi ya ubaguzi. Sheria pia inalinda wewe masaa yako ya kazi, rikizo, mshahara na njia wewe ni ungefukuzwa kazini."
sw,Kazi,Madai ya UIF/CF,"Unaweza kudai kutoka UIF ukikaa bila ajira kwa sababu uko mgonjwa au ulijifungua. Unahitaji ID ya numbari13 ili udai.Kama uliambukizwa na magonjwa kazini au kuwa mlemavu, Mfuko wa fidia hulipa. Kama ukifa kwa sababu ya majeruha wategemezi watalipwa hela. Fedia ya fedha watalipa bili za matibabu."
sw,Afya,Haki yako,"Una haki ya afya uzazi afya huduma SA. Huweza kataliwa matibabu. Wafanyi kazi wa hospitali hawajui haki wakimbizi na ukimbizi wenye kibali halali. Unaweza pigia Lawyers for Human Rights kama unashida ya afya umma."
sw,Afya,Gharama za matibabu,"Wakimbizi na Waombaji wa Ukimbizi hulipa ada moja na raia ya SA. Ada inaamuliwa baada ya mtihani, ambayo huamua ada ruzuku. Kama hauna hati, utalipa ada bei juu. Peleka pamoja nawe yafuatao: ID, kibali; kadi ya uteuzi ; karatasi ya mshahara au ushahidi wa mapato, anuani. Mwanga : Mgonjwa? Nenda kliniki-kama hawasaidie, watakupa barua, nenda hospitali."
