lang,topic,question,"answer"
so,goorma iyo xagee ayaad ka codsatay,xafiiska qaabilida qaxootiga,"si dagdaga u codso kadib markaad so gasho wadanka booqo xafiiska qabilada qaxootiga hadii lagu waydiiyo su al sheg in adrabto qabilad"
so,goorma iyo xagee ayaad ka codsatay,Durban,"xafiika kuugu dhaw qabilada q xootiga darban 132moore wada darban wac 0313621205 ama fakiska0313621220"
so,goorma iyo xagee ayaad ka codsatay,muusinaa,"xafiika kuugu dhaw qabilada q xootiga musina 8 hooladh wadada gurga ku xiga boosta 0155345300 fakiskuna 0155345332"
so,goorma iyo xagee ayaad ka codsatay,biritooriya,"xafiiska kuugu dhaw qabilaada qaxootiga biritoorya westi waa maraba istaadh geeska ttelfonka0123273515 fakiska123275782"
so,goorma iyo xagee ayaad ka codsatay,biritoorya westi,"xafiiska kuugu dhaw qabilaada qaxootiga biritoorya westi waa sowter wadada maa shaw garoonka telka 0123060800 ama 3060806 fakiska0865797823"
so,goorma iyo xagee ayaad ka codsatay,keebtawn,"xafiiska kuugu dhaw qabilaada qaxootiga kebtown 142 foootarka wadada milandhi telka0215148414 fakiska215148403 majirto codsi kibtown lkn waa cusboonaysiin kaliya"
so,dhaqaajinta adeega,waa jibaadkaga,"magangayodoonka waxaa difaacaya sh/k/a waxaana lagaarabaa inaad qaadato sharciga qaxootiga markaad timaado k/a, hadii aad wadanka danbi kagasho waxaa lagugu qaadi sh/k/a, sidaasi silamid ah hadii aad taageero umuujiso kooxo qaswadayaal ah oo wadankaagii kadagaalamaya waxaad waynaysaa sh/qaxootiga waxaadna mudankartaa xabsi"
so,dhaqaajinta adeega,xaq u yeelashada,"buxi foomka xaq u lahaanshaha si fiican uga jawaab su alaha lagu waydiinayo tusna dhamaan waraqaha ad wadato kana run sheeg taarikhdad xaqiijina koobiyada kaydina kuwa asalka ah marka lagaa qado faraha waxay ku siinayaan fayl lanbar iyo kiis lanbar e xifdi wa kuu muhiime lanbaraase"
so,dhaqaajinta adeega,codsi si xor ah,"hana bixin wax lacag ah sida waardiga ama shaqalaha ba waxan waa bilaash adana xaq u leh LOMANA OGALA MUSUQ TALO hadii ay kuwaydiiyaan waxda sharciyada wax laalush ah hubi meesha wakhtiga talo wac0800601190 si aad u war galiso musuqa waana kuu qarsoodi"
so,dhaqaajinta adeega,deganasho,"Waxaad helaysaa qaybta 22 aadmarkaad codsato. Waxayna cadaynayaan in aad codsatay ma tihid qaxooti ilaa laguu bilaabo dagananshaha ama shaqada SA. Hubso inaytahe 1 ama 3 bilood. Waado markasto. Markey dacdho cusboneysii. Goanka waxuu bilo ama sanad. Hadaa cusbonesin wa xabsi."
so,dhaqaajinta adeega,wax waydiin,"sharciyo yaqaanada gaarka ah waxay kaa caawinayaan rafcanka.waxa sutagaal inad bixiso qarash.ama laxariir LHR wey kucawinayan. urarka garyaqanada SA. kutakhasusay sharciga qaxotiga. kafirso markasta ad qabsenso qarashka. garyaqnka waino leyahy shadaho.kala xariir halkan 0123668800"
so,dhaqaajinta adeega,fasiraada,"hadii adan fahmayn luuqada lagag hadlo SA.Waxad u bahantahe turjuman. DHA hada weyso turjuman wainad la imato kada.wa ino noqdo qoof ku kalsontahay. ma ahan iska shega war aad kuhesho sharci.u hadaal si tartiib aah. weydiyi qofka sharicga kusinaya wax kasta.saxiix hadi ad ku qanacsanen"
so,dhaqaajinta adeega,si xor ah sharcigana wafaqsan,"jaamacadaha sharciyada.kiliinigyada.hayada xuquuda .ururada waxay dalbaan waano bilaash ah sharcigan khusaysa magan galyo doonka iyo qaxootiga hayada qaxootiga aduunka waxay fidisaa adeeg sharciya akhbar badan laxidhidh waxda qabilada mana bixiyaan cunto ama daryeel bulsho akhbaar badan ka helo waxda adega bulshada"
so,dhaqaajinta adeega,arimaha khuseeya sharciyada,"sharciyo yaqaanada gaarka ah waxay kaa caawinayaan rafcanka.waxa sutagaal inad bixiso qarash.ama laxariir LHR wey kucawinayan. urarka garyaqanada SA. kutakhasusay sharciga qaxotiga. kafirso markasta ad qabsenso qarashka. garyaqnka waino leyahy shadaho.kala xariir halkan 0123668800"
so,najiidad codsiga,guusha,"hadii aad xaqiijisay codsigaaga waxaad u gubaysa qaybta 24 aad si aad u hesho warqada daganasha aha warqada degan.. waxay shaqaynaysaa 2ilaa 4 sano kolkay dhacdo wa in aad cusboonaysiiso x.q.qaxootiga"
so,najiidad codsiga,guul darada,"Hadii RRO ay didhan odsi gaaga, malagu aqonsaan karo qaxoti aahan. Waxad ledahe 30 malimold, hadii an ahen waad in ad kabaxdaa wadanka SA. Sababta sharciga kuu diday. Hadii qodsigaga been bur ahaa Standing Committe of Refugee Affairs wey firinaya. Waxaad ledehe 14 malimo in ad didmaha. LHR weydi."
so,najiidad codsiga,racfaanka,"Sharciyaqanada gaarka ha waxay ka cawin karaan codsigaga sharci iyo racfaanka iyo wax kle. Hadaba waxaan u malaynyaa in ad adigu bixinaysid ama wac sharci yaqanada .Ayada xuquuqda adamaha waxa gal ah in ay ku caawin karan talo waydii. Hubi sharciyaqaanka ad rabtoin uu tayo leeyahay si ad u hubiso wac 012-366-8800"
so,xuquuqdada,magan galayada,"waxad xaq u ledahy in ad hesho war qada magan galyada sii wad raadinteeda ha noqon mid a masaafuriyo laguna celiyo wadankiisa hana noqon mid loo isticmalo wado sharci daro ah noqo mid sii joogi karak africa ilaa inta codsigagu yahay sugitaan"
so,xuquuqdada,shaqada,"qofka kasta oo qaxootiya waxuu xaq u leeyahay sii joogitaanka k africa ilaa inta sharcigiisu ka shaynayo umana baahnid dal kugal dheerad ah"
so,xuquuqdada,cafimaadka,"waxaad xaq uleedahay inaad hesho adeeg caafimaad waxaana reeban in laguu diido adeega caafimaad ee degdega ah, xusuusnaw dhamaan shaqaalaha goobaha caafimaadka iyo dhakhaatiirtu mayaqaanaan xuquuqda qaxootiga iyo magangalyo doonka haysta sharciyada saxda ah , markaa lasoo xidhiidh qareenada xuquul insaanka."
so,xuquuqdada,waxbarashada,"qofkataa waxuu xaq u leeyahay helida wax barsho k.afrika hayso nadamka sharci shaqaynaya hubi in uu kuu ogolaanayo in aad sii wadato hadi yna wax kaa khaldaayn waad sii wadan kartaa"
so,xuquuqdada,cuntda iyo guriga,"waxaad xaq u leedahay helida cunto biyo hayada guryaynta iyo dalab xadidan si laguu cawiyo lkn waan in aad aftada cawiso kadib wad arki adeega sida deemaha oo kle iwm waain aadfiiriso bulshada dhaqaalaha ay u bahan yihiin dawlaada k afrika iyo hayada ha aan dawliga ahayn maa h.q.aduunka waxay caawiyaan kiisas gara ah waxaana xadada ya sharciga k.afrika sabtu ma jirto xero lamana cawin karo dhaman bahida jirta gud ahanba hayada ha aan dawliga ahayn waxayna bixiyaan adeeg xadadan x.qabilda q. waxayna cawiyaan hoyada ilmaha dhalan in ayar2 bilood nin kaligii ah kas oo xanuunsanaya ama laxaad la aana waxana laga caawiya sida cuntada iyo qalab wan suurta gal in aan si guud ucawino adega bulshada"
so,xuquuqdada,guri ka saarida,"Sharciga difaacaya qaxootiga ama magan galyo doonka. Mamulka guriga waa in u ladadha sharci.O gow maxkamada maku qasboso. Mamulka maku qasbi karo inad guri geda katagtit. Waac tribuna kiradha guriga 011-630-5035 ama 0800-046-873 hadii ad umaleynaeyso xaaf daro ina laguguheysto."
so,xuquuqdada,arimha guurka iyo galmada,"SA waxy difaacday dhamaan sida galmada jinsiga. Isku midka ah sharciyan ama waxa loo soo gabiyo(lgbti).Hadaba hadad tahay dhibane wac waaxda wargalinta danbiyada sida nacayka hadal wax joohaanisbeg gala 0117174239 ama biritoorya wac wibegi0124303272 ama darban wac kkanisinta ama isku xidhka0333426165"
so,xuquuqdada,xadgudubka,"Haweenku iyo ciyaalka waxy xaq uleeyihiin in ay ku nooladan xor. Hadey jirto xaad gudub daan bolisa usheg. Xadgudub wa handaada jirka,galamada, xagudub waxey dici kartaa marka aad hor weyso. Xadgudub wa sharci daraada ah SA. Cawis oo dumarka iyo carurta wa uruka waac 0800-150-150- tagero iyo talabixin."
so,xidhtanka,xidhitaanka,"Kuwa haysta shaqaynaya waxay ka xabsi hadii ayna jabin. Booliska ama sharciyada ku waydiin karaan sharcigaga si ay u hubiyaan. Hadii lagu xidho ama hayo xabsi hubi in laguu ogolaaday SA. Ad waxba waa in ay hubiyaan. Xabsiga ku jiri kartaa 48 saac kaliya mana bixin kartid wax ah m wado ama koobi shanbad bolis leh."
so,xidhtanka,waxa la sameeyo,"Waxaa jirta wadooyin oo laguu xidhi karo. Adiga ka yimid sharcigaga in la wahti ayay qaadan. Hada la sharci yaqaankaga ama sxbkaga ama qoyska si ay kugu kobiga. Waxa saxda ah xaq u leedahay in ad hesho matala hadii lagu xidho talo lagu geeyo maxkamada waxaad codsan kartaa caawin si uu kugudoodo lcag la aan."
so,xidhtanka,xaalada,"Waxada waxay xaqiijin karaan 48 saac in aad wadato sharcigaag. Wajibkaaga hada haday wac sxbkaga ama qoyskaga waxanad ku diidi karta sharciyada in lagugu hayo, xabsiga ama lagu maxkamadu waxay mudad lagugu haynayo xabsiga waxaanad u cadaynka karta sabta adan u rabin."
so,xidhtanka,masaafurinta,"Hadii lagu geeyo xarunta masaafurinta, waxaad soo waci kartaa talo muhim ah. Xuquuqda adaman soo isbuuc kasta ha. Hubiyan xalada iyo wax ku caawiyo hadii ayna kuu ahayn, wado sharci ood ku sii joogto waii diwaan ka kuna noqo gurigaga. Wac hadii meesha masaafurinta amaan ahayan ama ka jiro ama sharaftada."
so,caruurta,weheliyay,"Hadii ilmo uu soogalo wadanka kuwo aan lahayn waalid caawiya waa in ay aadid maxkamada ciyaalka kana codso difaac waxay ku siinayaa warqad sharciya. Qofka masuulka ah arintaas codsado waa muhim, kadib waxy gudbinayaan codsi magan galyo qofka masuulka ah wa in uu lasocdo ilmaha yar isagu ama iyadu."
so,caruurta,aan wehelinin,"ciyaalka markan cidi la socon waxa masuuliyada qadanya waxda ilaalinta ciyaalka ama ciyaalka gaarka ka ah waalidka ama kuwa sida gaarka ah uga soo caray wadankoodi ama goobta dagaaka waa lamid"
so,caruurta,diwaanka,"Ima codsanaya magan galyada iyaga oon la socon walid, waxay la xidhiidhi arimah bulsha iyo kadib waxaa qiimayn kiiska adeega.Waaxda sharciyada ka caawinaysaa codsiga, sharciga. Qabilada waaxda adeega bulshad waa in ay baadho ilmaha. Hadii ilmuhu codsan wa in la wargaliyo waana muhiim ilmu haysto."
so,khadadka,lanbarka la wacayo,"DHA 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-99440;LifeLine Counselling: 0861-322-322; Masuqmasuq: 0800-701-701; CCMA: 0861-16-16-16; Xadgudbin 0800-150-150 ama 012-348-1234 ama 011-838-0411; Ilmaha 0800-055-55; AIDS: 0800-012-322 ama 0800110605; Chacel 0800-121-900."
